"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://irishealing.com/hypnotherapy/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","10","0.494","https://irishealing.com/therapy/hypnotherapy/","HTTP Redirect"
"https://irishealing.com/soothe-your-mind-at-a-co-occurring-disorder-center/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","4","0.238","https://irishealing.com/blog/soothe-your-mind-at-a-co-occurring-disorder-center","HTTP Redirect"
"https://irishealing.com/nutritional-therapy/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","14","0.618","https://irishealing.com/therapy/nutritional-therapy/","HTTP Redirect"
"https://irishealing.com/relapse-prevention-and-recovery/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","4","0.524","https://irishealing.com/blog/relapse-prevention-and-recovery","HTTP Redirect"
"https://irishealing.com/alcohol-detox-los-angeles/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","4","0.313","https://irishealing.com/","HTTP Redirect"
"https://irishealing.com/addiction-treatment/benzodiazepines/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","16","0.252","https://irishealing.com/addiction-treatment/benzo-rehab-los-angeles/","HTTP Redirect"
"https://irishealing.com/addiction-treatment/opioids/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","17","0.340","https://irishealing.com/","HTTP Redirect"
"https://store.samhsa.gov/product/tip-45-detoxification-and-substance-abuse-treatment/sma15-4131","text/html","301","Moved Permanently","Non-Indexable","Redirected","1","0.181","https://library.samhsa.gov/product/tip-45-detoxification-and-substance-abuse-treatment/sma15-4131","HTTP Redirect"
"https://irishealing.com/addiction-treatment/cocaine/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","17","0.470","https://irishealing.com/","HTTP Redirect"
"https://irishealing.com/xanax-in-your-system/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","1","0.435","https://irishealing.com/blog/xanax-in-your-system","HTTP Redirect"
"https://irishealing.com/xanax-addiction-treatment/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","23","0.536","https://irishealing.com/addiction-treatment/xanax/","HTTP Redirect"
"https://irishealing.com/addiction-treatment/fentanyl/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","18","0.514","https://irishealing.com/","HTTP Redirect"
"https://irishealing.com/cocaine-addiction-abuse-and-treatment/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","8","0.510","https://irishealing.com/addiction-treatment/cocaine-rehab-los-angeles/","HTTP Redirect"
"https://irishealing.com/adderall-guide/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","2","0.517","https://irishealing.com/addiction-treatment/drug-rehab-los-angeles/adderall/","HTTP Redirect"
"https://irishealing.com/opioid-addiction/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","57","0.405","https://irishealing.com/addiction-treatment/opioid-rehab-los-angeles/","HTTP Redirect"
"https://irishealing.com/stimulants-addiction/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","49","0.503","https://irishealing.com/addiction-treatment/stimulants/","HTTP Redirect"
"https://irishealing.com/benzodiazepines-addiction/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","51","0.414","https://irishealing.com/addiction-treatment/benzo-rehab-los-angeles/","HTTP Redirect"
"https://irishealing.com/fentanyl-addiction-and-treatment/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","5","0.518","https://irishealing.com/addiction-treatment/fentanyl-rehab-los-angeles/","HTTP Redirect"
"https://irishealing.com/mdma-rehab/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","1","0.482","https://irishealing.com/blog/mdma-rehab","HTTP Redirect"
